Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Nephrolepis brownii,invasive,"4,3,6,5","41,40,43,42,36,61,60,38,51,62,50","AND,ASS,BAN,BIS,BOR,CBD,CHC,CHS,XMS,COO,FIJ,CHH,IND,JAW,KZN,KER,LDV,LAO,LSI,MLY,MRN,MYA,NNS,NWC,NWG,NCB,OGA,PHI,PIT,QLD,SCI,SOL,SRL,SUL,TAI,THA,TOK,TON,TUA,TUB,VIE",",AND-AN,ASS-AS,LSI-LS,QLD-QU","8,7,6","81,83,80,78,63","LEE,BAH,DOM,PUE,CLM,NIC,FLA,HAW","LEE-NL,BAH-OO,DOM-OO,LEE-MO,PUE-OO,LEE-BV,LEE-VI,CLM-OO,NIC-OO,FLA-OO,HAW-HI","8,7,6","81,78,63","PUE,WIN,FLA,HAW",",WIN-SL"
Nephrolepis cordifolia,invasive,"4,2,6,3,5","40,42,41,23,62,36,29,60,63,38,61,50","ASS,BAN,BOR,CBD,CMN,CRL,CHC,CHS,COM,EHM,FIJ,GGI,CHH,HAW,IND,JAP,JAW,KZN,KOR,LDV,LAO,LSI,MLY,MRQ,MAU,MYA,NNS,NEP,NWC,NSW,NFK,OGA,PHI,PIT,QLD,REU,SEY,SCI,SCS,SRL,SUL,TAI,THA,CHT,TUB,VIE,WHM",",ASS-AS,COM-CO,LSI-LS,NSW-NS,QLD-QU","5,8,6,7,2","50,84,61,83,62,79,80,51,81,21,28,78,27","NSW,VIC,WAU,BZS,COO,CLM,MRN,MXT,MXC,MXS,MXG,NIC,5,PUE,MDR,STH,ALA,FLA,GEO,LEE,CPP,NAT,TVL,AZO","NSW-NS,VIC-OO,WAU-WA,BZS-PR,BZS-RS,COO-OO,CLM-OO,MRN-GU,MXT-CA,MXT-CI,MXC-DF,MXC-ME,MXS-MI,MXS-OA,MXC-PU,MXG-VC,NIC-OO,000-05,PUE-OO,MDR-OO,STH-OO,ALA-OO,FLA-OO,GEO-OO,LEE-VI,CPP-EC,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,AZO-OO","8,5,7,2","81,51,,26","BER,,ZAM",""
Nephrolepis exaltata,established,"7,8","76,81,83,84,80,78,79,77","ARI,BAH,BER,BOL,BZN,BZE,BZS,BZL,CLM,COS,CUB,DOM,ECU,FLA,HAI,HON,JAM,LEE,LOU,MXG,NIC,PAN,PUE,TEX,TCI",",HAI-HA","6,7,8,2","62,79,80,28,27,25,78,76,77,83","MRN,MXT,MXS,MXC,MXE,MXG,NIC,ASC,SWZ,TAN,ARK,ARI,LOU,MSI,TEX,NAT,CPP,BOL","MRN-GU,MXT-CA,MXT-CI,MXS-MI,MXS-NA,MXS-OA,MXC-PU,MXT-TB,MXE-TA,MXG-VC,NIC-OO,ASC-OO,SWZ-OO,TAN-OO,ARK-OO,ARI-OO,LOU-OO,MSI-OO,TEX-OO,NAT-OO,CPP-WC,BOL-OO","","","",""
Nephrolepis falcata,invasive,4,42,PHI,"","7,6","79,78,63","MXS,MXG,FLA,HAW,LOU","MXS-GR,MXG-VC,FLA-OO,HAW-HI,LOU-OO",7,"","",""
Nephrolepis hirsutula,invasive,"4,6,3,5","43,42,62,60,63,38,61,41,50,40,51","BIS,BOR,CRL,FIJ,HAW,JAW,KZN,LSI,LIN,MLY,MOL,MRN,MRQ,MRS,MYA,NWC,NWG,NUE,NTA,OGA,PHI,PIT,QLD,SAM,SCZ,SOL,SUL,SUM,THA,TOK,TUA,TUB,VAN,VIE,WAL,WAU,,SRL,TAI,TON",",LSI-LS,QLD-QU,SAM-WS,WAU-WA,MLY-PM,MLY-SI,SAM-AS,MRN-GU,NWG-PN","8,7,6","81,79,80,60,63","CUB,MXT,MXS,MXG,NIC,TON,HAW","CUB-OO,MXT-CI,MXS-OA,MXT-QR,MXT-TB,MXG-VC,MXT-YU,NIC-OO,TON-OO,HAW-HI",8,81,JAM,""
Nephrolepis pectinata,established,"8,7","83,84,80,81,82,79","BOL,BZN,BZE,BZS,BZL,CPI,CLM,COS,CUB,DOM,ECU,GAL,GUA,GUY,HAI,HON,JAM,MXC,MXG,MXT,MXS,PAN,PER,VEN",",HAI-HA",7,79,"MXT,MXC,MXS,MXN,MXG","MXT-CI,MXC-ME,MXS-MI,MXS-OA,MXC-PU,MXT-QR,MXN-SI,MXG-VC","","","",""
Nephrolepis pendula,established,"8,7","80,83,84,81,82,79","BLZ,BOL,BZN,BZE,BZS,BZL,BZC,CLM,COS,CUB,ECU,FRG,GUA,GUY,HON,MXG,MXT,MXS,NIC,PAN,PER,PUE,SUR,VEN,VNA","",7,79,"MXT,MXS,MXG","MXT-CI,MXS-OA,MXT-TB,MXG-VC","","","",""
Nephrolepis undulata,established,"2,4,8,7","26,40,22,83,84,23,21,24,29,80,81,25,79,41,42,82","ANG,ASS,BAN,BEN,BOL,BZN,BZE,BZL,BZC,BUR,CMN,CVI,CAF,CHA,CLM,COM,COS,ECU,ELS,EQG,ETH,GAB,GAL,GHA,GUA,GUI,GGI,HAI,HON,IND,IVO,KEN,LBR,MDG,MLW,MLI,MXC,MXG,MXE,MXN,MXT,MXS,MOZ,MYA,NEP,NGA,PAN,PHI,PUE,RWA,REU,SEN,SIE,SOC,SUD,TAN,THA,TOG,UGA,VEN,ZAM,ZAI,ZIM",",ASS-AS,COM-CO,HAI-HA",2,25,TAN,TAN-OO,"","","",""
Neptunia gracilis,established,"4,5,3","42,43,50,38","LSI,NWG,NSW,NTA,PHI,QLD,SOA,TAI,WAU",",LSI-LS,NSW-NS,QLD-QU,WAU-WA",3,38,TAI,TAI-OO,"","","",""
Neptunia plena,invasive,"8,7","81,83,84,80,82,79,85,77","ARU,BAH,BOL,BZN,BZE,BZC,CLM,COS,CUB,DOM,ECU,ELS,FRG,GAL,GUA,GUY,HAI,HON,JAM,LEE,MXC,MXG,MXE,MXN,MXT,MXS,NLA,NIC,PAN,PAR,PER,PUE,SUR,TEX,TRT,VEN,VNA,WIN",",HAI-HA","5,3,4,7","50,36,42,40,79","QLD,CHS,2,IND,WHM,SRL,MXI,MLY","QLD-QU,CHS-FJ,CHS-GD,000-02,IND-AP,IND-CH,IND-DE,IND-GU,IND-HA,WHM-HP,WHM-JK,IND-KT,IND-KE,IND-MR,IND-MP,IND-OR,000-09,IND-PU,IND-RA,IND-TN,WHM-UT,IND-WB,SRL-OO,MXI-RG,MLY-PM,MLY-SI",4,42,MLY,MLY-SI
