Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Abarema jupunba,established,"","","","",8,83,BOL,BOL-OO,"","","",""
Abelia chinensis,established,"3,4","36,38,41","CHC,CHS,NNS,TAI,VIE","","7,2","79,26","MXE,MXC,MOZ","MXE-CO,MXC-DF,MXC-ME,MOZ-OO","","","",""
Abelia x grandiflora,established,"","","","","5,7,8","50,78,76,77,83,51","NSW,ALA,ARI,FLA,GEO,MSI,NCA,TEX,ECU,BOL,NZN","NSW-NS,ALA-OO,ARI-OO,FLA-OO,GEO-OO,MSI-OO,NCA-OO,TEX-OO,ECU-OO,BOL-OO,NZN-OO","","","",""
Abelmoschus esculentus,established,4,"40,41","BAN,IND,MYA","","8,2,6,3,4,7","81,22,23,80,24,60,62,38,41,29,79,26,78,75,74,77,27,83","LEE,BEN,WIN,IVO,CMN,ZAI,COS,CAY,ETH,FIJ,MRN,HAI,4,LAO,MDG,MXT,MXS,MXC,MXE,MXN,MXG,MOZ,MTN,NGA,NIC,PUE,GGI,CHA,ALA,CNT,WDC,FLA,ILL,KTY,LOU,MIC,MIN,MSI,NCA,SCA,TEX,VRG,TVL,NAT,ZAM,BOL","LEE-AB,BEN-OO,LEE-SM,WIN-BA,IVO-OO,CMN-OO,ZAI-OO,COS-OO,CAY-OO,ETH-OO,FIJ-OO,MRN-GU,HAI-HA,000-04,LEE-SK,LAO-OO,MDG-OO,MXT-CI,MXS-GR,MXS-JA,MXC-ME,MXS-MI,MXS-OA,MXE-QU,MXT-QR,MXN-SI,MXE-SL,MXT-TB,MXG-VC,MXT-YU,MOZ-OO,MTN-OO,WIN-MA,NGA-OO,NIC-OO,PUE-OO,000-06,CHA-OO,ALA-OO,CNT-OO,WDC-OO,FLA-OO,ILL-OO,KTY-OO,LOU-OO,MIC-OO,MIN-OO,MSI-OO,NCA-OO,SCA-OO,TEX-OO,VRG-OO,LEE-VI,TVL-GA,NAT-OO,ZAM-OO,MXN-BC,MXN-BS,BOL-OO","","","",""
Abelmoschus ficulneus,established,"4,2,5","40,24,42,25,29,26,43,50","BAN,ERI,ETH,IND,JAW,KEN,LSI,MDG,MOZ,NWG,PAK,QLD,SOM,SRL,TAN,UGA,WHM,ZAM",",LSI-LS,QLD-QU",2,"24,25,29,22","ERI,ETH,KEN,MDG,NGR,NGA,SUD,SOM,CHA,TAN,UGA","ERI-OO,ETH-OO,KEN-OO,MDG-OO,NGR-OO,NGA-OO,SUD-OO,SOM-OO,CHA-OO,TAN-OO,UGA-OO","","","",""
Abelmoschus manihot,established,"4,3,5","40,43,36,42,41,50","ASS,BAN,BIS,CHN,CHC,CHS,XMS,EHM,IND,JAW,LAO,LSI,MOL,MYA,NEP,NWG,PAK,PHI,QLD,SUL,SUM,THA,VIE,WHM",",ASS-AS,LSI-LS,QLD-QU","5,2,3,4,7,8","50,23,38,41,79,26,80,29,83","NSW,QLD,CMN,4,LAO,MXS,MXC,MXG,MOZ,PAN,REU,ECU,BOL,PER","NSW-NS,QLD-QU,CMN-OO,000-04,LAO-OO,MXS-NA,MXS-OA,MXC-PU,MXG-VC,MOZ-OO,PAN-OO,REU-OO,ECU-OO,BOL-OO,PER-OO","","","",""
Abelmoschus manihot subsp. tetraphyllus,established,"4,3,5","43,36,40,42,41,50","BIS,CHC,EHM,IND,JAW,LSI,MOL,MYA,NWG,PAK,PHI,QLD,SUL",",LSI-LS,QLD-QU",5,50,QLD,QLD-QU,"","","",""
Abelmoschus manihot var. pungens,established,"4,3","40,36,42,41","ASS,CHC,CHS,XMS,EHM,IND,LAO,LSI,MYA,NEP,PAK,PHI,SUM,THA,VIE,WHM",",ASS-AS,LSI-LS",4,41,LAO,LAO-OO,"","","",""
Abelmoschus moschatus,invasive,"4,3,5","40,42,41,36,43,38,50","ASS,BAN,BOR,CBD,CHC,CHS,CHH,IND,JAW,LAO,LSI,MLY,MOL,MYA,NWG,PHI,SUL,SUM,TAI,THA,VIE,WHM,,AND,SRL,NTA,QLD,WAU",",ASS-AS,LSI-LS,CHS-GD,CHS-GX,CHC-GZ,CHS-HN,CHS-JX,CHC-YN,CHS-HK","6,5,2,8,3,7","60,50,22,81,36,23,80,62,38,79,29,63,83,26,82","SAM,NSW,BEN,LEE,WIN,CHS,CHC,CMN,COS,GAB,GUI,EQG,MRN,4,LBR,MXT,MXS,MXE,MXG,NIC,PUE,GGI,SEY,TON,TAI,HAW,ECU,BOL,PER,WAU,MOZ,VEN","SAM-AS,NSW-NS,BEN-OO,LEE-SM,WIN-BA,CHS-JX,CHS-HN,CHS-GD,CHS-GX,CHC-YN,CMN-OO,COS-OO,WIN-DO,GAB-OO,GUI-OO,EQG-OO,WIN-GR,MRN-GU,000-04,LBR-OO,WIN-SL,MXT-CI,MXS-OA,MXE-QU,MXE-SL,MXT-TB,MXG-VC,MRN-NM,WIN-MA,NIC-OO,PUE-OO,000-06,SEY-OO,TON-OO,TAI-OO,HAW-HI,WIN-SV,SAM-WS,ECU-OO,BOL-OO,PER-OO,WAU-WA,MOZ-OO,VEN-OO","3,4,6","38,42,63,60,61,62","JAP,MLY,HAW,SAM,COO,CRL,FIJ,,MRN,MRS,NWC,NUE,TON,WAL",",MLY-SI,SAM-AS,CRL-MF,MRN-GU,MRN-NM,CRL-PA"
Abies alba,established,1,"13,11,14,12","ALB,AUT,BLR,BUL,COR,CZE,FRA,GER,GRC,HUN,ITA,POL,ROM,SPA,SWI,TUE,UKR,YUG",",AUT-AU,FRA-FR,ITA-IT,SPA-SP,UKR-UK","1,7","10,14,78,11","DEN,BLT,GRB,IRE,NOR,SWE,NCA,GER","DEN-OO,BLT-ES,GRB-OO,IRE-NI,IRE-IR,NOR-OO,SWE-OO,NCA-OO,GER-OO","","","",""
Abies balsamea,established,7,"71,75,74,72,78","ABT,CNT,IOW,LAB,MAI,MAN,MAS,MIC,MIN,NBR,NWH,NWJ,NWY,NFL,NSC,ONT,PEN,PEI,QUE,SAS,VER,VRG,WVA,WIS",",NFL-NE","1,7","10,14,75","FIN,BLT,SWE,OHI","FIN-OO,BLT-LA,SWE-OO,OHI-OO","","","",""
Abies balsamea var. phanerolepis,established,7,"78,75","VRG,WVA","",1,14,BLT,BLT-ES,"","","",""
Abies cephalonica,established,1,13,"ALB,GRC","",1,10,GRB,GRB-OO,"","","",""
Abies concolor,established,7,"76,73,79,77","ARI,CAL,COL,IDA,MXE,MXN,NEV,NWM,ORE,UTA,WYO","","1,7","14,10,75,73","BLT,SWE,MAS,MAI,ORE,WAS","BLT-LA,SWE-OO,MAS-OO,MAI-OO,ORE-OO,WAS-OO","","","",""
Abies fraseri,established,7,78,"NCA,TEN,VRG","","1,7","14,74","BLT,MIN","BLT-ES,MIN-OO","","","",""
Abies grandis,established,7,"71,76,73","BRC,CAL,IDA,MNT,ORE,WAS","","1,5","10,12,51","DEN,FRA,GRB,IRE,5,SWE,NZN,NZS","DEN-OO,FRA-FR,GRB-OO,IRE-NI,000-05,SWE-OO,NZN-OO,NZS-OO","","","",""
Abies lasiocarpa,established,7,"70,71,76,73,77","ASK,ABT,ARI,BRC,CAL,COL,IDA,MNT,NEV,NWM,NWT,ORE,WAS,WYO,YUK","",1,10,SWE,SWE-OO,"","","",""
Abies nordmanniana,established,3,"33,34","NCS,TCS,TUR","","1,5","10,12,14,51","DEN,FRA,GRB,BLT,5,SWE,NZN,NZS","DEN-OO,FRA-FR,GRB-OO,BLT-LA,000-05,SWE-OO,NZN-OO,NZS-OO","","","",""
Abies numidica,established,2,20,ALG,"",3,33,TCS,TCS-AR,"","","",""
Abies pinsapo,established,"2,1","20,12","MOR,SPA",",MOR-MO,SPA-SP","1,2,3,8","12,21,33,83","COR,FRA,MDR,TCS,BOL","COR-OO,FRA-FR,MDR-OO,TCS-AR,BOL-OO","","","",""
Abies procera,established,7,"76,73","CAL,ORE,WAS","",1,10,"GRB,IRE,SWE","GRB-OO,IRE-NI,SWE-OO","","","",""
Abies sibirica,established,"3,1","30,31,14,32,36","ALT,AMU,BRY,CTA,RUE,IRK,KHA,KGZ,KRA,RUN,TVA,WSB,CHX,YAK","","1,3","14,10,33","BLT,RUW,RUC,SWE,TCS","BLT-ES,BLT-LA,RUW-OO,RUC-OO,SWE-OO,TCS-AR","","","",""
Abrus fruticulosus,established,"4,2,3","41,40,22,23,24,36,25,29,26","AND,ASS,BEN,CMN,CAF,CHA,CHS,CON,ERI,ETH,GAB,GNB,IND,IVO,KEN,LBR,MDG,MLW,MOZ,SUD,TAN,UGA,ZAM,ZIM",",AND-AN,ASS-AS","2,6,5,1,8,3,4,7","26,60,50,13,14,84,81,36,61,20,12,29,42,79,27,40,51,21,38,78,76,75,63,74,77","MOZ,SAM,TOK,NSW,NTA,QLD,SOA,TAS,WAU,BUL,BLR,BZN,BZE,BZC,BZL,BZS,WIN,CHN,CHM,CHS,CHC,CHH,CHI,CHX,CHT,COO,CUB,CAY,ALG,SPA,CGS,GRC,2,ITA,SAR,PHX,LEE,MXE,MXN,MXT,MXS,MXC,MXG,MAU,NAM,NFK,NEP,5,PUE,MDR,MRQ,TON,TAI,UKR,ALA,ARK,ARI,CAL,CNT,DEL,FLA,GEO,HAW,IOW,ILL,INI,KAN,KTY,LOU,MAS,MRY,MSO,MSI,NCA,NEB,NWJ,NWM,NWY,OHI,OKL,PEN,SCA,TEN,TEX,UTA,VRG,KER,REU,AZO,ROD,NZN,NZS","MOZ-OO,SAM-AS,TOK-SW,NSW-NS,NTA-OO,QLD-QU,SOA-OO,TAS-OO,WAU-WA,BUL-OO,BLR-OO,BZN-AM,BZE-BA,BZC-DF,BZL-ES,BZC-GO,BZE-MA,BZL-MG,BZC-MS,BZC-MT,BZN-PA,BZE-PB,BZE-PE,BZS-PR,BZL-RJ,BZS-RS,BZS-SC,BZE-SE,BZL-SP,WIN-BA,CHN-HB,CHN-SX,CHM-LN,CHM-JL,CHM-HJ,CHS-SH,CHS-JS,CHS-ZJ,CHS-AH,CHS-FJ,CHS-JX,CHN-SD,CHS-HE,CHC-HU,CHS-GD,CHS-GX,CHH-OO,CHC-SC,CHC-GZ,CHC-YN,CHI-NM,CHN-SA,CHI-NX,CHX-OO,CHT-OO,COO-OO,TOK-MA,CUB-OO,CAY-OO,WIN-DO,ALG-OO,SPA-SP,CGS-OO,GRC-OO,000-02,ITA-IT,SAR-OO,PHX-OO,LEE-SK,MXE-AG,000-08,MXT-CA,MXE-CU,MXT-CI,MXE-CO,MXS-CL,MXC-DF,MXE-DU,MXS-GR,MXE-GU,MXE-HI,MXS-JA,MXC-ME,MXS-MI,MXC-MO,MXS-NA,MXE-NL,MXS-OA,MXC-PU,MXE-QU,MXT-QR,MXN-SI,MXE-SL,MXN-SO,MXT-TB,MXE-TA,MXC-TL,MXG-VC,MXT-YU,MXE-ZA,MAU-OO,NAM-OO,NFK-NI,NEP-OO,000-05,PUE-OO,MDR-OO,MRQ-OO,TON-OO,TAI-OO,UKR-UK,ALA-OO,ARK-OO,ARI-OO,CAL-OO,CNT-OO,DEL-OO,FLA-OO,GEO-OO,HAW-HI,IOW-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,LOU-OO,MAS-OO,MRY-OO,MSO-OO,MSI-OO,NCA-OO,NEB-OO,NWJ-OO,NWM-OO,NWY-OO,OHI-OO,OKL-OO,PEN-OO,SCA-OO,TEN-OO,TEX-OO,UTA-OO,VRG-OO,LEE-VI,LEE-BV,KER-OO,MXN-BC,MXN-BS,REU-OO,AZO-OO,ROD-OO,NZN-OO,NZS-OO","","","",""
Abrus melanospermus subsp. melanospermus,established,"4,3,6","41,40,42,36,60,43","AND,ASS,BAN,BOR,CBD,CHC,CHS,EHM,CHH,IND,JAW,LAO,MLY,MYA,NEP,NWC,NWG,PHI,SRL,THA,VIE,WHM",",AND-AN,ASS-AS",8,83,"CLM,BOL","CLM-OO,BOL-OO","","","",""
Abrus precatorius,invasive,"2,4,3,5,6","29,41,26,40,22,27,23,21,24,36,25,42,50,38,35,61,60","ALD,AND,ANG,ASS,BAN,BEN,BOT,BKN,BUR,CBD,CMN,CPP,CVI,CPV,CAF,CHA,CHC,CHS,COM,CON,EHM,EQG,ERI,ETH,GAB,GAM,GUI,GNB,GGI,IND,IVO,KEN,NAT,LAO,LBR,MDG,MLW,MLY,MLI,MTN,MOZ,MYA,NAM,NEP,NSW,NCB,NGR,TVL,NTA,PAK,QLD,RWA,SEN,SEY,SOM,SCS,SRL,SUD,SWZ,TAI,TAN,THA,TOG,UGA,VIE,WHM,WAU,YEM,ZAM,ZAI,ZIM,,PHI,COO,FIJ,TON",",AND-AN,ASS-AS,COM-CO,NSW-NS,QLD-QU,WAU-WA,CHS-HK","6,8,5,3,7,2,4","60,81,50,83,82,62,38,79,29,61,35,42,78,63","SAM,LEE,NSW,BAH,WIN,CLM,CUB,CAY,FIJ,FRG,MRN,GUY,HAI,4,MXT,MXE,MXS,MXC,MXG,MAU,PUE,TUB,TUA,MRQ,PIT,SCI,SAU,MLY,SUR,FLA,HAW,REU,GAL,ROD,VEN,PER","SAM-AS,LEE-AB,NSW-NS,BAH-OO,LEE-SM,WIN-BA,CLM-OO,CUB-OO,CAY-OO,WIN-DO,FIJ-OO,WIN-GR,FRG-OO,MRN-GU,GUY-OO,HAI-HA,000-04,LEE-SK,WIN-SL,MXT-CA,MXE-CU,MXS-MI,MXC-PU,MXT-QR,MXT-TB,MXG-VC,MXT-YU,MRN-NM,WIN-MA,MAU-OO,PUE-OO,TUB-OO,TUA-OO,MRQ-OO,PIT-OO,SCI-OO,SAU-OO,MLY-SI,SUR-OO,FLA-OO,HAW-HI,LEE-VI,WIN-SV,LEE-BV,REU-OO,GAL-OO,ROD-OO,VEN-OO,PER-OO","8,7,6","81,80,78,62,61,60,83,79,82,","CUB,HON,FLA,CRL,,NWC,NUE,MRN,PIT,WAL,GAL,SUR,ECU",",CRL-MF,MRN-NM"
Abrus precatorius subsp. africanus,established,"2,3","29,26,22,27,23,21,24,25,35","ALD,ANG,BEN,BOT,BKN,BUR,CMN,CPP,CVI,CPV,CAF,CHA,COM,CON,EQG,ERI,ETH,GAB,GAM,GUI,GNB,GGI,IVO,KEN,NAT,LBR,MDG,MLW,MLI,MTN,MOZ,NAM,NGR,TVL,RWA,SEN,SEY,SOM,SUD,SWZ,TAN,TOG,UGA,YEM,ZAM,ZAI,ZIM",",COM-CO",5,50,"NSW,QLD","NSW-NS,QLD-QU","","","",""
Abutilon auritum,established,"4,6,8,5","42,41,60,43,83,50","XMS,JAW,LAO,LSI,NWC,NWG,PER,PHI,QLD,SUL,VAN",",LSI-LS,QLD-QU","6,2","61,63,29","SCI,HAW,REU","SCI-OO,HAW-HI,REU-OO","","","",""
Abutilon fruticosum,established,"2,7,3,4","20,26,78,27,22,24,35,40,34,25,79,77,74","ALG,ANG,ARK,BOT,BKN,CHA,DJI,EGY,ERI,ETH,GST,IND,IRN,KEN,MLI,MTN,MXC,MXG,MXE,MXS,MOR,NAM,NWM,NGR,TVL,OKL,OMA,PAK,PAL,SAU,SEN,SIN,SOC,SOM,SUD,TAN,TEX,YEM,ZIM",",MOR-MO","3,2","35,29","GST,SEY","GST-QA,SEY-OO","","","",""
Abutilon grandifolium,invasive,8,"85,83,84","AGE,AGW,BOL,BZS,CLN,PAR,PER,URU,",",BZS-RS","2,5,6,3","26,50,22,21,24,51,61,23,38,63,27,29","ANG,NSW,QLD,VIC,WAU,BKN,CNY,ETH,NFK,5,MDR,TUB,MRQ,SCI,TUA,GGI,TAI,HAW,CPP,TVL,NAT,REU,NZN","ANG-OO,NSW-NS,QLD-QU,VIC-OO,WAU-WA,BKN-OO,CNY-OO,ETH-OO,NFK-NI,000-05,MDR-OO,TUB-OO,MRQ-OO,SCI-OO,TUA-OO,000-06,TAI-OO,HAW-HI,CPP-EC,TVL-GA,NAT-OO,REU-OO,NZN-OO","2,1,5,6,7","26,29,12,21,50,62","MOZ,REU,POR,SPA,CNY,NSW,QLD,CRL",",CRL-MF"
Abutilon guineense,established,"2,3","26,22,23,21,36,25,27,29,24","ANG,BKN,CMN,CVI,CHC,GHA,GGI,KEN,NAT,MDG,MLW,MOZ,TVL,RWA,SOM,SUD,SWZ,TAN,TOG,UGA,ZAI,ZIM","","8,5,3,2","81,50,38,29","LEE,QLD,4,MAU,REU","LEE-AB,QLD-QU,000-04,MAU-OO,REU-OO","","","",""
Abutilon hirtum,invasive,"2,4,3,8","26,40,27,23,24,36,34,25,22,35,41,28,29,42,83","ANG,BAN,BOT,BUR,CMN,CPV,CHA,CHC,DJI,ERI,ETH,IND,IRN,KEN,MOZ,NAM,NGR,NGA,TVL,OMA,PAK,PAL,RWA,SAU,SOM,SRL,SUD,TAN,THA,UGA,VIE,YEM,ZAI,ZIM,,MAU,ROD,REU,AFG,IRQ,MLY,MYA,PER",",CHC-YN,IND-BI,IND-HA,IND-OR,IND-PU,IND-TN,IND-UP","8,7,2,6","81,83,80,79,29,61,78","LEE,WIN,CLM,COS,CUB,MXT,MXE,MXG,MAU,NIC,PUE,MRQ,SCI,FLA,REU,ROD","LEE-AG,LEE-AB,WIN-BA,CLM-OO,COS-OO,CUB-OO,WIN-GR,LEE-SK,MXT-CA,MXT-CI,MXT-TB,MXE-TA,MXG-VC,MXT-YU,WIN-MA,MAU-OO,NIC-OO,PUE-OO,MRQ-OO,SCI-OO,FLA-OO,LEE-VI,LEE-BV,REU-OO,ROD-OO","8,6","81,61,60","CUB,,NWC",""
Abutilon indicum,invasive,"3,4,6,2,5,8","34,41,40,62,36,60,38,42,29,50,35,26,23,27,25,80,43,84,83","AFG,AND,ASS,BAN,CBD,CRL,CHC,CHS,EHM,GIL,CHH,HBI,IND,KZN,LDV,LAO,LSI,MLY,MDV,MRN,MAU,MYA,NNS,NRU,NEP,NCB,NTA,OGA,OMA,PAK,PAL,PHI,QLD,ROD,REU,SCS,SRL,SUL,TAI,THA,VIE,WAU,ANG,COM,MDG,GGI,SEY,,UGA,CHN,CPI,JAW,BOR,SAU,YEM,XMS,NWC,NUE,NWG,SAM,VAN,BZN,PER",",AND-AN,ASS-AS,LSI-LS,QLD-QU,WAU-WA,EHM-BH,CHS-FJ,CHS-GD,CHS-GX,CHC-GZ,CHS-JS,CHS-JX,CHC-SC,CHN-TJ,CHC-YN,CPI-CO,CHS-HK,IND-PU,MLY-PM,BOR-SB,NWG-PN,BZN-AM","5,8,6,3,2","50,85,60,83,81,38,29,62,26,21,61,63","VIC,CLN,TOK,CLM,CUB,4,MDG,MRN,MOZ,MAU,MDR,SCI,SEY,HAW,LEE,REU,ROD","VIC-OO,CLN-AN,TOK-MA,CLM-OO,CUB-OO,000-04,MDG-OO,MRN-NM,MOZ-OO,MAU-OO,MDR-OO,SCI-OO,SEY-OO,HAW-HI,LEE-BV,REU-OO,ROD-OO","2,4,8,6","29,42,81,63,60,61,62","CGS,MLY,CUB,HAW,FIJ,,MRN,LIN",",MLY-SI,MRN-GU,LIN-KI"
Abutilon indicum subsp. albescens,established,"3,5,4","38,50,42","NNS,NTA,QLD,SUL",",QLD-QU",3,38,4,000-04,"","","",""
Abutilon pannosum,established,"3,2,4","34,20,26,22,23,21,24,35,40,25","AFG,ALG,ANG,BKN,CMN,CVI,CHA,DJI,EGY,ERI,ETH,GST,IND,IRN,IRQ,KEN,LBS,MLI,MTN,NGR,NGA,OMA,PAK,PAL,SAU,SEN,SIN,SOC,SOM,SRL,SUD,TAN,UGA,YEM","","3,2","35,29","GST,SEY,ROD","GST-QA,SEY-OO,ROD-OO","","","",""
Abutilon permolle,established,"8,7","81,80,78,79","BAH,BLZ,CAY,CUB,FLA,GUA,HAI,HON,JAM,MXT,PUE,TCI",",HAI-HA",2,21,MDR,MDR-OO,"","","",""
Abutilon sonneratianum,established,2,"27,26","CPP,OFS,NAT,LES,MOZ,TVL,SWZ,ZIM","",2,21,MDR,MDR-OO,"","","",""
Abutilon theophrasti,invasive,3,"36,32,37,38","CHN,CHC,CHS,CHI,KAZ,KGZ,CHM,,MON,TZK,TAI,TKM,UZB,CHX,CHH",",CHS-AH,CHS-FJ,CHN-GS,CHS-GD,CHS-GX,CHC-GZ,CHN-HB,CHM-HJ,CHS-HE,CHC-HU,CHS-HN,CHS-JS,CHS-JX,CHM-JL,CHM-LN,CHI-NX,CHN-SA,CHN-SD,CHS-SH,CHC-SC,CHC-YN","1,5,8,7,3,2,6","13,50,81,71,72,85,36,11,12,34,38,20,14,79,62,10,51,31,78,76,73,75,74,77,27,21","ALB,NSW,NTA,QLD,SOA,VIC,WAU,BUL,BER,ABT,BRC,MAN,NBR,NSC,ONT,PEI,QUE,SAS,CLS,CHN,CHM,CHS,CHC,CHH,CHI,CHQ,CHX,CZE,BAL,SPA,COR,FRA,PAL,4,KOR,MOR,UKR,MXE,MXS,MXN,MRN,NET,NOR,5,POL,POR,KHA,YUG,TUN,TAI,ALA,ARK,ARI,CAL,COL,CNT,WDC,DEL,FLA,GEO,IOW,IDA,ILL,INI,KAN,KTY,LOU,MAS,MRY,MAI,MIC,MIN,MSO,MSI,MNT,NCA,NDA,NEB,NWH,NWJ,NWM,NEV,NWY,OHI,OKL,ORE,PEN,RHO,SCA,SDA,TEN,TEX,UTA,VRG,VER,WAS,WIS,WVA,WYO,NAT,TVL,AUT,AZO,NZN,NZS","ALB-OO,NSW-NS,NTA-OO,QLD-QU,SOA-OO,VIC-OO,WAU-WA,BUL-OO,BER-OO,ABT-OO,BRC-OO,MAN-OO,NBR-OO,NSC-OO,ONT-OO,PEI-OO,QUE-OO,SAS-OO,CLS-MG,CHN-BJ,CHN-TJ,CHN-HB,CHN-SX,CHM-LN,CHM-JL,CHM-HJ,CHS-SH,CHS-JS,CHS-AH,CHS-FJ,CHS-JX,CHN-SD,CHS-HE,CHC-HU,CHS-HN,CHS-GD,CHS-GX,CHH-OO,CHC-CQ,CHC-SC,CHC-GZ,CHC-YN,CHI-NM,CHN-SA,CHN-GS,CHQ-OO,CHI-NX,CHS-HK,CHS-MA,CHX-OO,CZE-CZ,BAL-OO,SPA-SP,COR-OO,FRA-FR,PAL-IS,000-04,KOR-SK,MOR-MO,UKR-MO,MXE-CU,MXS-JA,MXN-SO,MRN-NM,NET-OO,NOR-OO,000-05,POL-OO,KOR-NK,POR-OO,KHA-OO,CZE-SK,YUG-SL,TUN-OO,TAI-OO,UKR-UK,ALA-OO,ARK-OO,ARI-OO,CAL-OO,COL-OO,CNT-OO,WDC-OO,DEL-OO,FLA-OO,GEO-OO,IOW-OO,IDA-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,LOU-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MIN-OO,MSO-OO,MSI-OO,MNT-OO,NCA-OO,NDA-OO,NEB-OO,NWH-OO,NWJ-OO,NWM-OO,NEV-OO,NWY-OO,OHI-OO,OKL-OO,ORE-OO,PEN-OO,RHO-OO,SCA-OO,SDA-OO,TEN-OO,TEX-OO,UTA-OO,VRG-OO,VER-OO,WAS-OO,WIS-OO,WVA-OO,WYO-OO,NAT-OO,TVL-MP,AUT-AU,AZO-OO,NZN-OO,NZS-OO","2,3,1,8,7,5,6","20,38,34,13,11,81,71,72,79,70,73,78,74,75,77,76,50,61,51,36,12","MOR,JAP,KOR,TUR,YUG,BUL,HUN,ITA,SWI,BER,BRC,NBR,ONT,QUE,,ASK,COL,WDC,ILL,INI,IOW,KTY,MIN,OHI,OKL,PEN,RHO,SCA,SDA,TEN,TEX,UTA,VER,WAS,WVA,WIS,WYO,CZE,LBS,POR",",JAP-HN,JAP-KY,JAP-SH,KOR-SK,YUG-BH,YUG-CR,CZE-CZ,LBS-LB"
Abutilon viscosum,established,"8,7","85,81,83,80,79,77,82","AGW,ARU,BAH,BOL,CAY,CLM,COS,CUB,DOM,ECU,GAL,HAI,HON,JAM,LEE,MXC,MXG,MXE,MXN,MXT,MXS,NLA,NIC,PAN,PAR,PER,PUE,TEX,TRT,TCI,VEN,VNA,WIN",",HAI-HA",6,63,HAW,HAW-HI,"","","",""
Acacia acuminata,established,5,50,WAU,",WAU-WA",5,50,VIC,VIC-OO,"","","",""
Acacia aneura,established,5,50,"NSW,NTA,QLD,SOA,WAU",",NSW-NS,QLD-QU,WAU-WA",6,63,HAW,HAW-HI,"","","",""
Acacia aulacocarpa,established,"4,5","43,50","NWG,NSW,QLD",",NSW-NS,QLD-QU","6,4","61,42","COO,PHI","COO-OO,PHI-OO","","","",""
Acacia auriculiformis,invasive,"4,5","42,43,50,41","MOL,NWG,NTA,QLD,",",QLD-QU,NWG-IJ,NWG-PN","5,2,8,6,4,7,3","50,22,84,23,61,83,81,62,42,40,41,29,60,25,78,63,35","WAU,BEN,BZN,BZE,BZL,ZAI,COO,CLM,CUB,GHA,MRN,2,IND,ASS,LAO,MDG,MLY,PHI,PUE,SEN,THA,TON,TAN,FLA,HAW,6,BAN","WAU-WA,BEN-OO,BZN-AM,BZE-BA,BZL-ES,BZL-RJ,ZAI-OO,COO-OO,CLM-OO,CUB-OO,GHA-OO,MRN-GU,000-02,IND-AP,ASS-AS,IND-BI,IND-HA,IND-KT,IND-KE,IND-MR,IND-MP,IND-OR,IND-TN,ASS-TR,IND-UP,IND-WB,LAO-OO,MDG-OO,MLY-PM,PHI-OO,PUE-OO,SEN-OO,MLY-SI,THA-OO,TON-OO,TAN-OO,FLA-OO,HAW-HI,000-07,BAN-OO","2,4,8,7,6","29,40,42,81,78,61,62,43,84,22,25","COM,BAN,BOR,MLY,BAH,FLA,COO,CRL,MRN,MRS,SOL,,MDG,SIE,TAN",",COM-MA,BOR-SB,MLY-SI,CRL-MF,MRN-GU,MRN-NM,CRL-PA"
Acacia baileyana,invasive,5,50,NSW,",NSW-NS","5,1,2,7","50,12,27,79,51,21,76","NSW,QLD,SOA,TAS,VIC,WAU,SPA,COR,LES,MXS,5,MDR,POR,SWZ,CAL,CPP,OFS,TVL,NAT,NZN,NZS","NSW-NS,QLD-QU,SOA-OO,TAS-OO,VIC-OO,WAU-WA,SPA-SP,COR-OO,LES-OO,MXS-OA,000-05,MDR-OO,POR-OO,SWZ-OO,CAL-OO,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,NZN-OO,NZS-OO",7,"","",""
Acacia calcicola,established,5,50,"NSW,NTA,QLD,SOA,WAU",",NSW-NS,QLD-QU,WAU-WA",3,35,6,000-07,"","","",""
Acacia cardiophylla,established,5,50,NSW,",NSW-NS",5,50,"NSW,VIC","NSW-NS,VIC-OO","","","",""
Acacia colei,invasive,5,50,"NTA,QLD,WAU",",QLD-QU,WAU-WA",2,25,"KEN,TAN","KEN-OO,TAN-OO",2,25,"KEN,TAN",""
Acacia confusa,invasive,"4,3","42,38","BOR,MLY,PHI,SUM,TAI","","6,3,2,4","62,38,29,41,63","MRN,4,MAU,SEY,THA,HAW","MRN-GU,000-04,MRN-NM,MAU-OO,SEY-OO,THA-OO,HAW-HI","6,4,3","63,41,38","HAW,,JAP",""
Acacia crassicarpa,invasive,"4,5","43,50","NWG,QLD",",QLD-QU,NWG-IJ","6,2","61,29","COO,MDG","COO-OO,MDG-OO","6,2","61,29","COO,MDG",""
Acacia cultriformis,established,5,50,"NSW,QLD",",NSW-NS,QLD-QU","5,7,2,8","50,76,27,83","NSW,VIC,CAL,CPP,BOL","NSW-NS,VIC-OO,CAL-OO,CPP-WC,BOL-OO","","","",""
